price|quantity|type|timestamp
4540000|1.0|1|2024-04-28 00:00:51
4541000|21.54|1|2024-04-28 00:00:51
4542000|6.54|1|2024-04-28 00:00:51
4543000|100.0112|1|2024-04-28 00:00:51
4538000|0.0012|0|2024-04-28 00:00:56
4536000|0.0155|0|2024-04-28 00:00:56
4535000|0.0406|0|2024-04-28 00:00:56
4534000|15.0012|0|2024-04-28 00:00:56
4533000|1.8457|0|2024-04-28 00:00:56
4539000|11.8696|1|2024-04-28 00:00:56
4540000|1.0|1|2024-04-28 00:00:56
4541000|6.54|1|2024-04-28 00:00:56
4542000|21.54|1|2024-04-28 00:00:56
4543000|100.0112|1|2024-04-28 00:00:56
4538000|0.0012|0|2024-04-28 00:01:01
4536000|0.0155|0|2024-04-28 00:01:01
4535000|1.8863|0|2024-04-28 00:01:01
4534000|15.0012|0|2024-04-28 00:01:01
4531000|8.0794|0|2024-04-28 00:01:01
4539000|11.8651|1|2024-04-28 00:01:01
4540000|1.1271|1|2024-04-28 00:01:01
4541000|6.54|1|2024-04-28 00:01:01
4542000|21.54|1|2024-04-28 00:01:01
4543000|100.0112|1|2024-04-28 00:01:01
4538000|0.0012|0|2024-04-28 00:01:06
4536000|0.0155|0|2024-04-28 00:01:06
4535000|1.8863|0|2024-04-28 00:01:06
4534000|15.0012|0|2024-04-28 00:01:06
4532000|3.61|0|2024-04-28 00:01:06
4539000|11.8651|1|2024-04-28 00:01:06
4540000|1.0|1|2024-04-28 00:01:06
4541000|6.54|1|2024-04-28 00:01:06
4542000|21.54|1|2024-04-28 00:01:06
4543000|100.0112|1|2024-04-28 00:01:06
4538000|0.0012|0|2024-04-28 00:01:11
4536000|0.0315|0|2024-04-28 00:01:11
4535000|1.8863|0|2024-04-28 00:01:11
4534000|15.0012|0|2024-04-28 00:01:11
4531000|8.0794|0|2024-04-28 00:01:11
4539000|11.8651|1|2024-04-28 00:01:11
4540000|1.0|1|2024-04-28 00:01:11
4541000|6.54|1|2024-04-28 00:01:11
4542000|111.7597|1|2024-04-28 00:01:11
4543000|9.7915|1|2024-04-28 00:01:11
4538000|0.0012|0|2024-04-28 00:01:16
4536000|0.0315|0|2024-04-28 00:01:16
4535000|1.8863|0|2024-04-28 00:01:16
4534000|15.0012|0|2024-04-28 00:01:16
4533000|3.61|0|2024-04-28 00:01:16
4539000|11.8651|1|2024-04-28 00:01:16
4540000|1.0|1|2024-04-28 00:01:16
4541000|7.8112|1|2024-04-28 00:01:16
4542000|111.7597|1|2024-04-28 00:01:16
4543000|9.7915|1|2024-04-28 00:01:16
4538000|0.0012|0|2024-04-28 00:01:21
4536000|0.0315|0|2024-04-28 00:01:21
4535000|1.8863|0|2024-04-28 00:01:21
4534000|15.0012|0|2024-04-28 00:01:21
4531000|8.0794|0|2024-04-28 00:01:21
4539000|11.8651|1|2024-04-28 00:01:21
4541000|7.8113|1|2024-04-28 00:01:21
4542000|111.7597|1|2024-04-28 00:01:21
4543000|12.2829|1|2024-04-28 00:01:21
4544000|6.5113|1|2024-04-28 00:01:21
4535000|0.0332|0|2024-04-28 00:01:26
4534000|15.0012|0|2024-04-28 00:01:26
4533000|0.101|0|2024-04-28 00:01:26
4531000|7.6273|0|2024-04-28 00:01:26
4530000|5.2869|0|2024-04-28 00:01:26
4536000|3.3062|1|2024-04-28 00:01:26
4537000|3.61|1|2024-04-28 00:01:26
4539000|4.2551|1|2024-04-28 00:01:26
4541000|6.54|1|2024-04-28 00:01:26
4542000|111.7597|1|2024-04-28 00:01:26
4533000|1.8431|0|2024-04-28 00:01:31
4532000|15.0|0|2024-04-28 00:01:31
4531000|10.7283|0|2024-04-28 00:01:31
4530000|5.2869|0|2024-04-28 00:01:31
4529000|10.3158|0|2024-04-28 00:01:31
4535000|3.273|1|2024-04-28 00:01:31
4539000|4.2551|1|2024-04-28 00:01:31
4541000|10.15|1|2024-04-28 00:01:31
4542000|112.2083|1|2024-04-28 00:01:31
4543000|12.8481|1|2024-04-28 00:01:31
4534000|1.8431|0|2024-04-28 00:01:36
4533000|21.61|0|2024-04-28 00:01:36
4532000|7.61|0|2024-04-28 00:01:36
4531000|9.3892|0|2024-04-28 00:01:36
4530000|4.0156|0|2024-04-28 00:01:36
4535000|3.2405|1|2024-04-28 00:01:36
4539000|0.6451|1|2024-04-28 00:01:36
4541000|3.61|1|2024-04-28 00:01:36
4542000|15.4486|1|2024-04-28 00:01:36
4543000|13.8481|1|2024-04-28 00:01:36
4536000|1.8529|0|2024-04-28 00:01:41
4535000|3.61|0|2024-04-28 00:01:41
4533000|21.4786|0|2024-04-28 00:01:41
4532000|7.61|0|2024-04-28 00:01:41
4531000|10.0062|0|2024-04-28 00:01:41
4539000|3.6899|1|2024-04-28 00:01:41
4541000|5.0055|1|2024-04-28 00:01:41
4543000|30.1188|1|2024-04-28 00:01:41
4544000|102.271|1|2024-04-28 00:01:41
4545000|17.6154|1|2024-04-28 00:01:41
4536000|3.6099|0|2024-04-28 00:01:46
4535000|3.61|0|2024-04-28 00:01:46
4534000|0.0022|0|2024-04-28 00:01:46
4533000|25.0886|0|2024-04-28 00:01:46
4532000|5.3233|0|2024-04-28 00:01:46
4539000|3.6899|1|2024-04-28 00:01:46
4541000|5.0055|1|2024-04-28 00:01:46
4543000|30.1188|1|2024-04-28 00:01:46
4544000|102.271|1|2024-04-28 00:01:46
4545000|17.6154|1|2024-04-28 00:01:46
4536000|3.6099|0|2024-04-28 00:01:51
4535000|3.61|0|2024-04-28 00:01:51
4534000|0.0022|0|2024-04-28 00:01:51
4533000|25.0886|0|2024-04-28 00:01:51
4532000|4.2225|0|2024-04-28 00:01:51
4539000|3.6899|1|2024-04-28 00:01:51
4541000|5.0055|1|2024-04-28 00:01:51
4542000|1.2708|1|2024-04-28 00:01:51
4543000|28.8481|1|2024-04-28 00:01:51
4544000|102.271|1|2024-04-28 00:01:51
4536000|3.4099|0|2024-04-28 00:01:56
4535000|3.61|0|2024-04-28 00:01:56
4534000|0.0022|0|2024-04-28 00:01:56
4533000|25.0886|0|2024-04-28 00:01:56
4532000|4.2225|0|2024-04-28 00:01:56
4539000|3.6899|1|2024-04-28 00:01:56
4541000|5.0055|1|2024-04-28 00:01:56
4542000|1.2708|1|2024-04-28 00:01:56
4543000|28.8481|1|2024-04-28 00:01:56
4544000|102.271|1|2024-04-28 00:01:56
4536000|1.757|0|2024-04-28 00:02:01
4535000|1.8456|0|2024-04-28 00:02:01
4534000|3.6122|0|2024-04-28 00:02:01
4533000|18.0|0|2024-04-28 00:02:01
4532000|11.2198|0|2024-04-28 00:02:01
4539000|0.6451|1|2024-04-28 00:02:01
4541000|20.055|1|2024-04-28 00:02:01
4543000|13.8481|1|2024-04-28 00:02:01
4544000|102.271|1|2024-04-28 00:02:01
4545000|17.6154|1|2024-04-28 00:02:01
4536000|1.757|0|2024-04-28 00:02:06
4534000|1.8478|0|2024-04-28 00:02:06
4533000|21.61|0|2024-04-28 00:02:06
4532000|11.2198|0|2024-04-28 00:02:06
4531000|4.4662|0|2024-04-28 00:02:06
4539000|4.2551|1|2024-04-28 00:02:06
4541000|21.985|1|2024-04-28 00:02:06
4543000|13.8481|1|2024-04-28 00:02:06
4544000|96.731|1|2024-04-28 00:02:06
4545000|17.6154|1|2024-04-28 00:02:06
4536000|1.1282|0|2024-04-28 00:02:11
4534000|1.8478|0|2024-04-28 00:02:11
4533000|18.61|0|2024-04-28 00:02:11
4532000|11.2198|0|2024-04-28 00:02:11
4531000|4.0197|0|2024-04-28 00:02:11
4537000|3.61|1|2024-04-28 00:02:11
4539000|4.2551|1|2024-04-28 00:02:11
4541000|20.714|1|2024-04-28 00:02:11
4542000|95.7597|1|2024-04-28 00:02:11
