price|quantity|type|timestamp
96518000|0.0001|0|2024-04-24 00:00:03
96514000|0.0347|0|2024-04-24 00:00:03
96513000|0.0524|0|2024-04-24 00:00:03
96512000|0.0259|0|2024-04-24 00:00:03
96511000|0.0242|0|2024-04-24 00:00:03
96534000|0.0013|1|2024-04-24 00:00:03
96535000|0.0825|1|2024-04-24 00:00:03
96540000|0.0228|1|2024-04-24 00:00:03
96550000|0.1035|1|2024-04-24 00:00:03
96553000|0.004|1|2024-04-24 00:00:03
96518000|0.0001|0|2024-04-24 00:00:03
96514000|0.0347|0|2024-04-24 00:00:03
96513000|0.0524|0|2024-04-24 00:00:03
96512000|0.0259|0|2024-04-24 00:00:03
96511000|0.0242|0|2024-04-24 00:00:03
96534000|0.0013|1|2024-04-24 00:00:03
96535000|0.0825|1|2024-04-24 00:00:03
96540000|0.0228|1|2024-04-24 00:00:03
96550000|0.1035|1|2024-04-24 00:00:03
96553000|0.004|1|2024-04-24 00:00:03
96511000|0.0001|0|2024-04-24 00:00:08
96509000|0.0001|0|2024-04-24 00:00:08
96496000|0.0188|0|2024-04-24 00:00:08
96492000|0.0165|0|2024-04-24 00:00:08
96491000|0.0001|0|2024-04-24 00:00:08
96514000|0.0288|1|2024-04-24 00:00:08
96533000|0.0003|1|2024-04-24 00:00:08
96534000|0.0008|1|2024-04-24 00:00:08
96535000|0.0825|1|2024-04-24 00:00:08
96540000|0.0228|1|2024-04-24 00:00:08
96488000|0.0046|0|2024-04-24 00:00:13
96477000|0.0002|0|2024-04-24 00:00:13
96470000|0.0282|0|2024-04-24 00:00:13
96466000|0.0164|0|2024-04-24 00:00:13
96465000|0.0001|0|2024-04-24 00:00:13
96514000|0.0289|1|2024-04-24 00:00:13
96520000|0.0081|1|2024-04-24 00:00:13
96522000|0.0283|1|2024-04-24 00:00:13
96523000|0.0074|1|2024-04-24 00:00:13
96524000|0.0539|1|2024-04-24 00:00:13
96501000|0.0039|0|2024-04-24 00:00:18
96488000|0.0003|0|2024-04-24 00:00:18
96484000|0.0164|0|2024-04-24 00:00:18
96482000|0.0001|0|2024-04-24 00:00:18
96481000|0.0541|0|2024-04-24 00:00:18
96514000|0.0289|1|2024-04-24 00:00:18
96533000|0.1038|1|2024-04-24 00:00:18
96534000|0.0008|1|2024-04-24 00:00:18
96535000|0.0825|1|2024-04-24 00:00:18
96538000|0.0081|1|2024-04-24 00:00:18
96501000|0.2031|0|2024-04-24 00:00:23
96488000|0.0003|0|2024-04-24 00:00:23
96477000|0.0002|0|2024-04-24 00:00:23
96464000|0.054|0|2024-04-24 00:00:23
96463000|0.0059|0|2024-04-24 00:00:23
96511000|0.0268|1|2024-04-24 00:00:23
96512000|0.0001|1|2024-04-24 00:00:23
96513000|0.0584|1|2024-04-24 00:00:23
96514000|0.0288|1|2024-04-24 00:00:23
96522000|0.0283|1|2024-04-24 00:00:23
96466000|0.0044|0|2024-04-24 00:00:28
96460000|0.0047|0|2024-04-24 00:00:28
96435000|0.01|0|2024-04-24 00:00:28
96430000|0.05|0|2024-04-24 00:00:28
96421000|0.0164|0|2024-04-24 00:00:28
96480000|0.001|1|2024-04-24 00:00:28
96481000|0.103|1|2024-04-24 00:00:28
96482000|0.075|1|2024-04-24 00:00:28
96483000|0.0687|1|2024-04-24 00:00:28
96484000|0.0607|1|2024-04-24 00:00:28
96435000|0.01|0|2024-04-24 00:00:33
