price|quantity|type|timestamp
4500000|0.0206|0|2024-04-26 15:23:32
4499000|9.4913|0|2024-04-26 15:23:32
4497000|0.5106|0|2024-04-26 15:23:32
4496000|16.8535|0|2024-04-26 15:23:32
4495000|17.8505|0|2024-04-26 15:23:32
4504000|0.0045|1|2024-04-26 15:23:32
4505000|16.3935|1|2024-04-26 15:23:32
4506000|3.4555|1|2024-04-26 15:23:32
4507000|4.3531|1|2024-04-26 15:23:32
4508000|4.4668|1|2024-04-26 15:23:32
4500000|0.0206|0|2024-04-26 15:23:32
4499000|9.4913|0|2024-04-26 15:23:32
4497000|0.5106|0|2024-04-26 15:23:32
4496000|16.8535|0|2024-04-26 15:23:32
4495000|17.8505|0|2024-04-26 15:23:32
4504000|0.0045|1|2024-04-26 15:23:32
4505000|16.3935|1|2024-04-26 15:23:32
4506000|3.4555|1|2024-04-26 15:23:32
4507000|4.3531|1|2024-04-26 15:23:32
4508000|4.4668|1|2024-04-26 15:23:32
4501000|1.2121|0|2024-04-26 15:23:37
4500000|1.2911|0|2024-04-26 15:23:37
4499000|9.4913|0|2024-04-26 15:23:37
4498000|0.4402|0|2024-04-26 15:23:37
4497000|0.5106|0|2024-04-26 15:23:37
4504000|0.0065|1|2024-04-26 15:23:37
4505000|16.3935|1|2024-04-26 15:23:37
4506000|3.4489|1|2024-04-26 15:23:37
4507000|4.0|1|2024-04-26 15:23:37
4508000|4.8195|1|2024-04-26 15:23:37
4499000|5.8058|0|2024-04-26 15:23:42
4498000|1.2705|0|2024-04-26 15:23:42
4497000|0.8486|0|2024-04-26 15:23:42
4496000|16.8535|0|2024-04-26 15:23:42
4495000|16.0925|0|2024-04-26 15:23:42
4500000|7.7378|1|2024-04-26 15:23:42
4501000|0.0296|1|2024-04-26 15:23:42
4504000|0.4503|1|2024-04-26 15:23:42
4505000|15.0|1|2024-04-26 15:23:42
4506000|3.4486|1|2024-04-26 15:23:42
4499000|6.7602|0|2024-04-26 15:23:47
4498000|1.6237|0|2024-04-26 15:23:47
4497000|0.8486|0|2024-04-26 15:23:47
4496000|16.5|0|2024-04-26 15:23:47
4495000|16.0925|0|2024-04-26 15:23:47
4500000|0.1659|1|2024-04-26 15:23:47
4501000|0.0296|1|2024-04-26 15:23:47
4504000|1.8421|1|2024-04-26 15:23:47
4505000|15.0|1|2024-04-26 15:23:47
4506000|3.4486|1|2024-04-26 15:23:47
4499000|6.7602|0|2024-04-26 15:23:52
4498000|1.6237|0|2024-04-26 15:23:52
4497000|0.8486|0|2024-04-26 15:23:52
4496000|16.5|0|2024-04-26 15:23:52
4495000|16.0925|0|2024-04-26 15:23:52
4500000|0.0871|1|2024-04-26 15:23:52
4501000|0.0313|1|2024-04-26 15:23:52
4504000|1.8421|1|2024-04-26 15:23:52
4505000|15.0|1|2024-04-26 15:23:52
4506000|3.4486|1|2024-04-26 15:23:52
4499000|6.7602|0|2024-04-26 15:23:57
4498000|1.6237|0|2024-04-26 15:23:57
4497000|0.8486|0|2024-04-26 15:23:57
4496000|16.5|0|2024-04-26 15:23:57
4495000|16.0925|0|2024-04-26 15:23:57
4500000|0.0599|1|2024-04-26 15:23:57
4501000|0.0313|1|2024-04-26 15:23:57
4504000|1.8421|1|2024-04-26 15:23:57
4505000|15.0|1|2024-04-26 15:23:57
4506000|3.4486|1|2024-04-26 15:23:57
4499000|6.7602|0|2024-04-26 15:24:02
4498000|1.6239|0|2024-04-26 15:24:02
4497000|0.8486|0|2024-04-26 15:24:02
4496000|16.5|0|2024-04-26 15:24:02
4495000|16.0925|0|2024-04-26 15:24:02
4500000|0.0|1|2024-04-26 15:24:02
4501000|0.0313|1|2024-04-26 15:24:02
4504000|1.8421|1|2024-04-26 15:24:02
4505000|15.0|1|2024-04-26 15:24:02
4506000|3.4486|1|2024-04-26 15:24:02
4499000|4.5444|0|2024-04-26 15:24:07
4498000|3.8411|0|2024-04-26 15:24:07
4497000|0.8486|0|2024-04-26 15:24:07
4496000|1.5|0|2024-04-26 15:24:07
4495000|31.0905|0|2024-04-26 15:24:07
4500000|0.0|1|2024-04-26 15:24:07
4501000|0.0016|1|2024-04-26 15:24:07
4504000|1.8421|1|2024-04-26 15:24:07
4505000|15.0|1|2024-04-26 15:24:07
4506000|3.4486|1|2024-04-26 15:24:07
4500000|0.0129|0|2024-04-26 15:24:12
4499000|4.5444|0|2024-04-26 15:24:12
4498000|0.3534|0|2024-04-26 15:24:12
4497000|0.8486|0|2024-04-26 15:24:12
4496000|1.5|0|2024-04-26 15:24:12
4501000|0.0003|1|2024-04-26 15:24:12
4504000|1.8421|1|2024-04-26 15:24:12
4505000|15.0|1|2024-04-26 15:24:12
4506000|3.4486|1|2024-04-26 15:24:12
4507000|4.0|1|2024-04-26 15:24:12
4500000|0.3549|0|2024-04-26 15:24:17
4499000|6.7616|0|2024-04-26 15:24:17
4498000|0.1955|0|2024-04-26 15:24:17
4497000|0.8486|0|2024-04-26 15:24:17
4496000|1.5|0|2024-04-26 15:24:17
4501000|0.0003|1|2024-04-26 15:24:17
4504000|1.8421|1|2024-04-26 15:24:17
4505000|15.0|1|2024-04-26 15:24:17
4506000|3.4486|1|2024-04-26 15:24:17
4507000|4.0|1|2024-04-26 15:24:17
4500000|1.284|0|2024-04-26 15:24:22
4499000|6.7616|0|2024-04-26 15:24:22
4498000|0.3536|0|2024-04-26 15:24:22
4497000|0.8486|0|2024-04-26 15:24:22
4496000|1.5|0|2024-04-26 15:24:22
4501000|0.0003|1|2024-04-26 15:24:22
4504000|1.3918|1|2024-04-26 15:24:22
4505000|15.0|1|2024-04-26 15:24:22
4506000|3.4486|1|2024-04-26 15:24:22
4507000|4.0|1|2024-04-26 15:24:22
4500000|1.284|0|2024-04-26 15:24:27
4499000|4.8979|0|2024-04-26 15:24:27
4498000|2.2172|0|2024-04-26 15:24:27
4497000|0.8486|0|2024-04-26 15:24:27
4496000|1.5|0|2024-04-26 15:24:27
4501000|0.0003|1|2024-04-26 15:24:27
4504000|1.3918|1|2024-04-26 15:24:27
4505000|15.0|1|2024-04-26 15:24:27
4506000|3.4486|1|2024-04-26 15:24:27
4507000|4.0|1|2024-04-26 15:24:27
4500000|1.2741|0|2024-04-26 15:24:32
4499000|6.7616|0|2024-04-26 15:24:32
4498000|0.3537|0|2024-04-26 15:24:32
4497000|0.8486|0|2024-04-26 15:24:32
4496000|1.5|0|2024-04-26 15:24:32
4501000|0.0003|1|2024-04-26 15:24:32
4504000|1.3918|1|2024-04-26 15:24:32
4505000|15.0|1|2024-04-26 15:24:32
4506000|3.4486|1|2024-04-26 15:24:32
4507000|4.0|1|2024-04-26 15:24:32
4500000|1.2741|0|2024-04-26 15:24:37
4499000|6.7616|0|2024-04-26 15:24:37
4498000|0.3537|0|2024-04-26 15:24:37
4497000|0.8486|0|2024-04-26 15:24:37
4496000|1.5|0|2024-04-26 15:24:37
4501000|0.0003|1|2024-04-26 15:24:37
4504000|1.3918|1|2024-04-26 15:24:37
4505000|15.0|1|2024-04-26 15:24:37
4506000|3.4486|1|2024-04-26 15:24:37
4507000|4.0|1|2024-04-26 15:24:37
4500000|1.2741|0|2024-04-26 15:24:42
4499000|4.8977|0|2024-04-26 15:24:42
4498000|2.2172|0|2024-04-26 15:24:42
4497000|0.8486|0|2024-04-26 15:24:42
4496000|1.5|0|2024-04-26 15:24:42
4501000|0.0003|1|2024-04-26 15:24:42
4504000|1.3918|1|2024-04-26 15:24:42
4505000|15.0|1|2024-04-26 15:24:42
4506000|3.4486|1|2024-04-26 15:24:42
4507000|4.0|1|2024-04-26 15:24:42
4501000|1.9996|0|2024-04-26 15:24:47
4500000|1.2741|0|2024-04-26 15:24:47
4499000|7.1152|0|2024-04-26 15:24:47
4498000|3.59|0|2024-04-26 15:24:47
4497000|1.1825|0|2024-04-26 15:24:47
4504000|1.3918|1|2024-04-26 15:24:47
4505000|15.0|1|2024-04-26 15:24:47
4506000|3.5507|1|2024-04-26 15:24:47
4507000|4.0|1|2024-04-26 15:24:47
4508000|5.1768|1|2024-04-26 15:24:47
4501000|1.9996|0|2024-04-26 15:24:52
4500000|1.2741|0|2024-04-26 15:24:52
4499000|7.1152|0|2024-04-26 15:24:52
4498000|3.59|0|2024-04-26 15:24:52
4497000|1.1825|0|2024-04-26 15:24:52
4504000|1.3918|1|2024-04-26 15:24:52
4505000|15.0|1|2024-04-26 15:24:52
4506000|3.5507|1|2024-04-26 15:24:52
4507000|4.0|1|2024-04-26 15:24:52
4508000|5.1768|1|2024-04-26 15:24:52
4501000|1.9996|0|2024-04-26 15:24:57
4500000|1.6163|0|2024-04-26 15:24:57
